"gene","coef","pVal","Std.error","pVal_adj","qVal"
"CIITA",-0.466508682161189,0.441272302591131,0.60581883656409,0.991230417748256,0.991230417748256
"CLIP1",-0.199977749306592,0.700427158734047,0.519768458287791,0.991230417748256,0.991230417748256
"CLP1",0.0579310482753198,0.930619628048749,0.665374905119563,0.991230417748256,0.991230417748256
"COL2A1",-1.14962262648861,0.176311746947262,0.850187619023001,0.991230417748256,0.991230417748256
"CREB3L1",0.493666553804852,0.365008391004495,0.544968251339459,0.991230417748256,0.991230417748256
"CRTC3",0.42096437035718,0.376228865177442,0.475737945580272,0.991230417748256,0.991230417748256
"CSDE1",0.0700703237705708,0.898962266031506,0.551854888181585,0.991230417748256,0.991230417748256
"CSF3R",-1.07189786319192,0.190352009253711,0.818531011404859,0.991230417748256,0.991230417748256
"CTCF",0.614833905805553,0.218353204084867,0.499491813704981,0.991230417748256,0.991230417748256
"CTNND1",-0.616894833275937,0.429182872624626,0.780296086648492,0.991230417748256,0.991230417748256
"CYLD",0.404573938086181,0.445989424068266,0.530854537944615,0.991230417748256,0.991230417748256
"CYP2C8",0.103233084224757,0.878865269430838,0.677347572115377,0.991230417748256,0.991230417748256
"CYSLTR2",0.285218024467785,0.629847901974174,0.591811155232802,0.991230417748256,0.991230417748256
"DACH1",-0.0403169259359723,0.940049396863642,0.536073896001087,0.991230417748256,0.991230417748256
"DDB2",-0.49399841085391,0.528947510846569,0.784605853081956,0.991230417748256,0.991230417748256
"DDIT3",1.19074560155269,0.131007309353116,0.788499330876163,0.991230417748256,0.991230417748256
"DDR2",-1.31111374242258,0.124558717978443,0.853635757775718,0.991230417748256,0.991230417748256
"DDX10",-0.156104454929562,0.801758605849818,0.621752268469021,0.991230417748256,0.991230417748256
"DDX6",0.240726042407613,0.67959691137393,0.582853084373432,0.991230417748256,0.991230417748256
"DHX9",0.330600422405255,0.47944410831672,0.467480004555527,0.991230417748256,0.991230417748256
"DICER1",-0.0285093749246095,0.947982751778234,0.436990897197005,0.991230417748256,0.991230417748256
"EED",-0.22372543081813,0.789678248056648,0.838776034720601,0.991230417748256,0.991230417748256
"ELF3",0.806670526974826,0.255113473810951,0.708838866026067,0.991230417748256,0.991230417748256
"ELK4",0.272291946328973,0.709604631272824,0.731206642037691,0.991230417748256,0.991230417748256
"EPHA2",-0.863501586174172,0.279054724872649,0.797732333724907,0.991230417748256,0.991230417748256
"EPS15",-0.0890953768568117,0.86657361608041,0.530290853244929,0.991230417748256,0.991230417748256
"ERBB2",0.217033661460805,0.635512707060263,0.457894262434228,0.991230417748256,0.991230417748256
"ERBB3",-0.53745226869798,0.492463046184882,0.783005432335769,0.991230417748256,0.991230417748256
"ERC1",0.0749679422320612,0.87708058988219,0.484692531558,0.991230417748256,0.991230417748256
"ERCC4",-0.184374552541083,0.765054609076696,0.616947103078232,0.991230417748256,0.991230417748256
"ERCC5",-0.1257098554561,0.812278771229474,0.529332961868801,0.991230417748256,0.991230417748256
"ETNK1",0.376491878546842,0.626264194748342,0.773097074940821,0.991230417748256,0.991230417748256
"ETV4",0.103278548146624,0.878810547988534,0.677337513993352,0.991230417748256,0.991230417748256
"ETV6",-0.575776540803178,0.460628490108034,0.780383446053448,0.991230417748256,0.991230417748256
"EXT2",0.131019207952978,0.815690113360991,0.562092710038783,0.991230417748256,0.991230417748256
"FAM46C",0.589543187525197,0.371391437521946,0.659540169459161,0.991230417748256,0.991230417748256
"FANCF",0.176353276147855,0.785115072499449,0.646789723482529,0.991230417748256,0.991230417748256
"FAS",1.19063100259175,0.131332259721139,0.789088377769649,0.991230417748256,0.991230417748256
"FAT3",0.698753987561323,0.0520161857673045,0.359626386653396,0.991230417748256,0.991230417748256
"FCRL4",-0.472188679396626,0.427729203894726,0.595383346775159,0.991230417748256,0.991230417748256
"FEN1",0.452229232398142,0.571492674378135,0.799196982720253,0.991230417748256,0.991230417748256
"FES",0.334225801816848,0.484034560969942,0.477582599474406,0.991230417748256,0.991230417748256
"FGFR2",0.493553481398919,0.365086302297456,0.544931960328257,0.991230417748256,0.991230417748256
"FH",-0.0571362806104997,0.928704496250426,0.638573244877672,0.991230417748256,0.991230417748256
"FLCN",0.603685668302977,0.283210075921083,0.562543458774204,0.991230417748256,0.991230417748256
"FLI1",-0.0153198158113683,0.977332376605333,0.539174300719421,0.991230417748256,0.991230417748256
"FLT3",-0.374494639008647,0.531934331669403,0.599137779043864,0.991230417748256,0.991230417748256
"FOXA1",0.554603038286982,0.345805829290976,0.588278580410077,0.991230417748256,0.991230417748256
"FOXO1",0.0594856343962028,0.928756394700484,0.66531596947319,0.991230417748256,0.991230417748256
"FOXR1",-0.223852361311604,0.789309366121025,0.837747153081943,0.991230417748256,0.991230417748256
"FUBP1",-0.52152657731549,0.506495525348886,0.785071725701292,0.991230417748256,0.991230417748256
"FUS",-0.433916954281293,0.585601547076813,0.795855210959491,0.991230417748256,0.991230417748256
"GAS7",0.365339869482559,0.486229290438454,0.524673387346921,0.991230417748256,0.991230417748256
"GLI1",0.653082292686138,0.126756238583235,0.427684403198081,0.991230417748256,0.991230417748256
"GOLGA5",0.241164593055974,0.679102065737696,0.582961446116667,0.991230417748256,0.991230417748256
"GPC5",-0.279428032492281,0.586707936129104,0.514020314411332,0.991230417748256,0.991230417748256
"GPS2",-0.365145854515579,0.648340326934929,0.800637219874191,0.991230417748256,0.991230417748256
"GRIN2A",0.580804723650147,0.0548013677975096,0.302431933142737,0.991230417748256,0.991230417748256
"HERPUD1",0.272230931048089,0.709535543309696,0.730860645980758,0.991230417748256,0.991230417748256
"HIF1A",0.441284780776297,0.480698949249429,0.625777118083752,0.991230417748256,0.991230417748256
"HMGA2",-0.369145121166922,0.646615554770737,0.80516926953516,0.991230417748256,0.991230417748256
"HNF1A",0.60339760557754,0.283345253988335,0.562432928420389,0.991230417748256,0.991230417748256
"HOXC11",-0.123654687921968,0.843511903533799,0.626406209022174,0.991230417748256,0.991230417748256
"HOXC13",0.616209909477631,0.281810784145222,0.572547193645411,0.991230417748256,0.991230417748256
"HRAS",0.272841817311775,0.70899648197127,0.731079201654322,0.991230417748256,0.991230417748256
"HSP90AA1",0.919797574497925,0.0575322318232434,0.484296355443548,0.991230417748256,0.991230417748256
"ID3",-0.345558846904776,0.66898950820122,0.808258121954987,0.991230417748256,0.991230417748256
"IDH2",0.103754294624376,0.878274687335908,0.677438734700769,0.991230417748256,0.991230417748256
"IKZF3",0.152449292129942,0.825554818536721,0.691674250940107,0.991230417748256,0.991230417748256
"INPPL1",-0.472641745865603,0.355459153651164,0.511488161243966,0.991230417748256,0.991230417748256
"IRF6",0.283129661661251,0.632200132446034,0.591538798812167,0.991230417748256,0.991230417748256
"JAK1",-1.14982979631095,0.165713722150966,0.829537984937965,0.991230417748256,0.991230417748256
"JUN",-0.238986983811609,0.777380764321064,0.845271522182743,0.991230417748256,0.991230417748256
"KAT6B",-0.0114399032067268,0.980804689588519,0.475472465562681,0.991230417748256,0.991230417748256
"KCNJ5",0.666049728517484,0.244529712618215,0.572335898416435,0.991230417748256,0.991230417748256
"KDM5A",0.0514815927126905,0.897927313993646,0.401321742623119,0.991230417748256,0.991230417748256
"KIF5B",-0.298679278214272,0.621401116795719,0.604778490822909,0.991230417748256,0.991230417748256
"KLF5",0.586846308041815,0.373314789869449,0.65916943602365,0.991230417748256,0.991230417748256
"KLF6",-0.319275288076477,0.693525216884979,0.810187891258535,0.991230417748256,0.991230417748256
"KMT2A",-0.274202190304312,0.49382008313138,0.40073649673325,0.991230417748256,0.991230417748256
"KMT2D",0.685637516250369,0.314458639771128,0.681608888006067,0.991230417748256,0.991230417748256
"KNSTRN",-0.320697769258816,0.692129771384107,0.809911448922676,0.991230417748256,0.991230417748256
"KRT222",0.807716612629304,0.254524413068414,0.708878624836902,0.991230417748256,0.991230417748256
"KTN1",0.509084657955325,0.427325888121826,0.641345547610573,0.991230417748256,0.991230417748256
"LARP4B",-0.21456770737003,0.726498142446064,0.61342293845148,0.991230417748256,0.991230417748256
"LASP1",-0.111577773293142,0.899982435570519,0.887767623490224,0.991230417748256,0.991230417748256
"LATS2",-0.91598483097653,0.13862890540032,0.618525768463145,0.991230417748256,0.991230417748256
"LCK",-0.552004966295764,0.480496691224965,0.78242650112813,0.991230417748256,0.991230417748256
"LCP1",-0.447144862520499,0.452860750201685,0.595673507139292,0.991230417748256,0.991230417748256
"LHFP",-0.112689467060342,0.898934100726104,0.887263047628074,0.991230417748256,0.991230417748256
"LMNA",-0.443230886838832,0.466921943556024,0.609255125399476,0.991230417748256,0.991230417748256
"LMO1",0.211806741000741,0.765522586974964,0.710197000692971,0.991230417748256,0.991230417748256
"LMO2",0.88367941291264,0.225613466423152,0.729267296465243,0.991230417748256,0.991230417748256
"LRIG3",-0.172713077491694,0.740809616262653,0.522136616065057,0.991230417748256,0.991230417748256
"MACF1",0.602719553378323,0.28385201753049,0.56239252542292,0.991230417748256,0.991230417748256
"MAF",0.442346068138037,0.537470789323564,0.717346473045296,0.991230417748256,0.991230417748256
"MAML2",-0.134961219871807,0.797275581302059,0.525397300454123,0.991230417748256,0.991230417748256
"MAP2K1",-0.273214936133204,0.739702153064042,0.822322786299698,0.991230417748256,0.991230417748256
"MAX",-0.319473521347784,0.69338069089551,0.810288388867837,0.991230417748256,0.991230417748256
"MDM2",-0.154866723386015,0.803165201166761,0.621323783259343,0.991230417748256,0.991230417748256
"MDM4",-0.319486648573277,0.693132968642818,0.809632552541466,0.991230417748256,0.991230417748256
